novel_label,novel_rationale,first_seen,best_topic_id,best_topic_name,similarity,action,notes,llm_label
Delivery not received,"The review indicates a consistent issue with delivery not occurring when expected, which is not explicitly covered in the existing topics.",2025-09-28T15:09:30.000000+0530,NO_DELIVERY_YET,No Delivery Yet,0.6524804830551147,merge,"Topics A and B both address the issue of delivery not being received or delayed, indicating a consistent problem with delivery expectations.",Delivery Issues
Delivery timing issue,The review mentions a delay in delivery but does not specify a significant delay or other issues covered in the catalog.,2025-10-17T11:14:48.000000+0530,LATE_DELIVERY,Late Delivery,0.6501848697662354,merge,"Topics A and B both address issues related to delays in delivery, making them duplicates.",Delivery Timing Issues
Positive food feedback,The review expresses positive sentiment about food quality but does not match existing topics.,2025-10-01T12:01:21.000000+0530,GOOD_QUALITY_FOOD,Good Quality Food,0.6501331925392151,merge,"Topic A expresses positive sentiment about food quality, which aligns with Topic B.",Good Quality Food
App criticism,The review expresses dissatisfaction with the app without specifying an issue.,2025-10-21T17:10:39.000000+0530,GREAT_APP,Great App,0.647659420967102,merge,Consolidated general app feedback into a single category.,App Reviews
App design issues,"The review criticizes the app's design and functionality, which is not specifically covered in the existing topics.",2025-10-19T15:13:46.000000+0530,GREAT_APP,Great App,0.6476420164108276,new,The review highlights specific design and functionality issues not covered in existing topics.,App design issues
Poor service experience,"The review indicates dissatisfaction with the service quality, suggesting a general negative experience without specifying a catalog topic.",2025-10-07T21:53:19.000000+0530,POSITIVE_EXPERIENCE,Positive Experience,0.6452854871749878,merge,Consolidating both positive and negative service experiences into a single category for clarity.,Service Experience
Delivery person payment issue,Delivery person requesting GPAY despite COD selected.,2025-10-18T11:41:02.000000+0530,COD_NOT_AVAILABLE,COD Not Available,0.6450455188751221,merge,Both topics relate to payment issues with delivery methods.,Delivery person payment issue
Cancellation Issue,Review mentions difficulty with cancelling.,2025-10-18T15:18:41.000000+0530,NO_CANCEL_OPTION,No Cancel Option,0.6449065804481506,merge,"Both topics address problems related to cancelling, including difficulties and lack of options.",Cancellation Issues
Faster booking and delivery,"The review discusses the hope for faster booking, restaurant, and delivery, which is not explicitly covered in the catalog.",2025-10-12T07:25:51.000000+0530,FAST_DELIVERY,Fast Delivery,0.6447529792785645,merge,"Topics A and B both focus on the concept of speed in booking and delivery services, making them duplicates.",Faster booking and delivery
Delivery Timeliness Concern,"The review emphasizes the importance of timely delivery at a specific location, which is not explicitly covered in the existing topics.",2025-10-25T13:39:53.000000+0530,FAST_DELIVERY,Fast Delivery,0.6445752382278442,merge,"Both topics address issues related to order cancellation, including frustration with cancellation charges and the absence of a cancel option.",Order Cancellation Concern
Order cancellation issue,The review expresses frustration about order cancellation not being handled correctly.,2025-10-09T12:58:04.000000+0530,NO_CANCEL_OPTION,No Cancel Option,0.6424777507781982,merge,Consolidated topics related to positive sentiments about pricing and overall experience.,Positive Feedback
App dissatisfaction,The review expresses general dissatisfaction with the app without specifying a particular issue.,2025-10-07T08:48:49.000000+0530,GREAT_APP,Great App,0.6399308443069458,merge,Consolidated reviews expressing both dissatisfaction with pricing and positive feedback.,App Reviews
Negative Feedback,The review expresses strong dissatisfaction without specifying an issue.,2025-10-04T19:29:51.000000+0530,POSITIVE_EXPERIENCE,Positive Experience,0.6396623253822327,new,"The review mentions the absence of a delivery partner near the location, which is not covered in the existing topics.",No delivery partner available
Positive Discount Feedback,"The review expresses satisfaction with a discount, which is not covered in the existing topics.",2025-10-12T09:32:38.000000+0530,POSITIVE_EXPERIENCE,Positive Experience,0.6385064125061035,merge,"Both topics address issues related to delivery, with Topic A focusing on availability and Topic B indicating a lack of delivery.",Delivery Availability Issue
Silent COD switch exploitation,"The review describes a silent switch to cash on delivery after a payment failure without user consent, indicating a potential exploitation issue not covered in the catalog.",2025-10-15T11:11:12.000000+0530,COD_NOT_AVAILABLE,COD Not Available,0.6351871490478516,merge,"Both topics express positive sentiments and appreciation, making them duplicates.",Gratitude for service
Positive Feedback,The review expresses a positive sentiment but does not specify any issues.,2025-09-28T18:49:21.000000+0530,POSITIVE_EXPERIENCE,Positive Experience,0.6350276470184326,merge,"Both topics relate to service quality, with Topic A addressing concerns and Topic B reflecting a positive experience, indicating a spectrum of service quality.",General service issues
Fast Time Order,"The review mentions 'fast time odar', indicating a potential positive sentiment about quick delivery, but lacks clarity.",2025-10-19T12:37:58.000000+0530,FAST_DELIVERY,Fast Delivery,0.6333217024803162,new,"The review mentions lagging and shutting off, which is not covered in the existing topics.",App performance issues
App usability issues,"The review mentions the app needing improvements and being difficult to explore, which is not covered in the existing topics.",2025-10-18T08:09:11.000000+0530,GREAT_APP,Great App,0.6333131790161133,merge,"Both topics relate to dissatisfaction with the offer, with Topic A focusing on unspecified issues and Topic B emphasizing quality.",Incomplete offer details
Payment Issues,The review mentions problems with payment application.,2025-10-16T14:21:41.000000+0530,PAYMENT_FAILURE,Payment Failure,0.6332067251205444,new,"Consolidating topics related to delivery experiences, including carelessness and rudeness.",Delivery Issues
Food quality complaint,"The review expresses dissatisfaction with the food quality, which is not explicitly covered in the existing topics.",2025-10-04T15:54:57.000000+0530,POOR_QUALITY,Poor Quality,0.6318538188934326,merge,Limited Options is a duplicate topic that encompasses the need for more food options.,Menu variety suggestion
Delivery Timing Concern,The review suggests a concern about the timing of delivery without specifying a particular issue.,2025-10-04T14:19:46.000000+0530,LATE_DELIVERY,Late Delivery,0.6311167478561401,merge,Consolidated negative and positive feedback into a single category for app reviews.,App Reviews
Generic Negative Feedback,The review expresses a lack of satisfaction without specifying an issue.,2025-09-30T15:28:35.000000+0530,NEGATIVE_GENERIC,Negative Generic,0.6291329264640808,new,"The review highlights a lack of connection with the delivery person, which is not addressed in existing topics.",Delivery person communication issue
App Mentioned,The review only mentions the app without specific issues.,2025-10-22T14:34:43.000000+0530,GREAT_APP,Great App,0.6262102127075195,merge,Both topics express satisfaction with the quality of food.,Positive feedback on dishes
Bored App Experience,"The review expresses boredom with the app, which is not covered in the existing topics.",2025-10-01T18:34:55.000000+0530,GREAT_APP,Great App,0.6233437061309814,merge,Consolidated under Delivery Management to encompass both inefficient delivery management and fast delivery aspects.,Delivery Management Issues
Delivery Location Bug,"The review mentions a bug in delivery location assignment affecting users and delivery partners, which is not covered in the existing topics.",2025-10-18T13:45:46.000000+0530,CANT_FIND_ADDRESS,Can't Find Address,0.6230067014694214,merge,"Topic A is a specific instance of Topic B, as it describes a positive sentiment related to delivery, which falls under the broader category of positive experiences.",Positive Experience
No specific feedback,The review does not provide any specific feedback or issue related to the service.,2025-09-28T12:15:17.000000+0530,POSITIVE_EXPERIENCE,Positive Experience,0.6229230165481567,merge,"Consolidated topics related to service quality, encompassing both positive and negative experiences.",Service Experience
Positive sentiment towards service,The review expresses affection but does not relate to any specific issue in the catalog.,2025-10-01T05:39:16.000000+0530,POSITIVE_EXPERIENCE,Positive Experience,0.6203161478042603,merge,"Both topics relate to inquiries about delivery status, with Topic A being a general inquiry and Topic B indicating a specific situation of no delivery.",Delivery Status Inquiry
Poor Service,The review indicates dissatisfaction with service quality.,2025-10-12T05:02:47.000000+0530,POSITIVE_EXPERIENCE,Positive Experience,0.6201522350311279,merge,Consolidating positive sentiment topics related to offers and overall experiences.,Positive Feedback
Positive sentiment about service,The review expresses satisfaction with Swiggy's service.,2025-10-12T13:51:09.000000+0530,POSITIVE_EXPERIENCE,Positive Experience,0.6197538375854492,merge,"Topic A expresses enjoyment, which aligns with the sentiment of Topic B.",Positive Experience
Negative feedback without specifics,The review expresses dissatisfaction but does not specify an issue.,2025-10-20T11:44:13.000000+0530,POSITIVE_EXPERIENCE,Positive Experience,0.6184524297714233,merge,Consolidated user feedback regarding app performance and satisfaction.,App Feedback
App Feedback,Review expresses frustration with app content.,2025-10-25T13:19:14.000000+0530,GREAT_APP,Great App,0.615066409111023,merge,"Both topics relate to customer experiences and feedback, with Topic A indicating a desire for improvement and Topic B reflecting a positive experience.",Customer Feedback
Positive sentiment towards choice,The review expresses a positive sentiment about the user's preference for the service.,2025-10-23T09:13:12.000000+0530,POSITIVE_EXPERIENCE,Positive Experience,0.6150178909301758,new,"This topic addresses specific criticisms of app features, which is not covered in existing topics.",Negative app feature feedback
Better Offers Comparison,"The review mentions better offers than other apps, which is not covered in the existing topics.",2025-10-20T07:40:44.000000+0530,GREAT_APP,Great App,0.6138162612915039,merge,"The review praises the grocery app services, which can be considered a specific instance of a great app.",Outstanding grocery app service
App usability issue,"The review indicates a general dissatisfaction with the app's functionality, which is not specifically covered in the existing topics.",2025-09-28T18:16:03.000000+0530,GREAT_APP,Great App,0.6120629906654358,merge,"Both topics express a positive sentiment, with Topic A being a general expression and Topic B indicating a positive experience.",Positive Sentiment
App Performance Issues,"Review highlights significant app performance problems, not covered in existing topics.",2025-09-28T05:54:59.000000+0530,GREAT_APP,Great App,0.6116835474967957,merge,Both topics relate to feedback but differ in specificity; merging allows for a comprehensive category that includes both general and positive experiences.,Generic Feedback
Positive Food Experience,The review expresses enjoyment of the food.,2025-10-23T14:29:01.000000+0530,GOOD_QUALITY_FOOD,Good Quality Food,0.6097382307052612,merge,"Both topics relate to feedback that does not specify particular issues, with Topic B being a subset of positive experiences.",Generic feedback
Positive food experience,The review expresses enjoyment of the food.,2025-10-08T17:07:20.000000+0530,GOOD_QUALITY_FOOD,Good Quality Food,0.6097382307052612,merge,Consolidating positive aspects of service efficiency and quality into a single topic.,Service Efficiency
Tracking Issue,Review mentions inability to track delivery executive's location.,2025-10-10T16:20:19.000000+0530,CANT_FIND_ADDRESS,Can't Find Address,0.6073889136314392,new,"This topic addresses a specific issue with incorrect delivery distance displayed after logging in, which is not covered in existing topics.",Delivery Distance Discrepancy
Service Quality Inquiry,The review mentions a general inquiry about service quality without specific issues.,2025-10-08T12:37:15.000000+0530,POSITIVE_EXPERIENCE,Positive Experience,0.6072019338607788,merge,Both topics address the issue of a lack of response or engagement from support regarding complaints.,No Response from Support
Delivery person issue,The review mentions a delivery person but does not specify a clear issue related to existing topics.,2025-09-29T16:25:30.000000+0530,RUDE_DELIVERY_PERSON,Rude Delivery Person,0.6061851382255554,merge,"Both topics relate to feedback on services, with Topic A suggesting improvements and Topic B reflecting a positive experience.",Service Improvement Suggestion
Poor Service Quality,The review expresses dissatisfaction with the service quality without specifying an issue.,2025-10-03T05:57:24.000000+0530,POSITIVE_EXPERIENCE,Positive Experience,0.6059871912002563,merge,"Both topics relate to feedback on services, with Topic A being a general overview and Topic B indicating a positive experience.",General feedback on offerings
High pricing concern,The review mentions high fees affecting user experience.,2025-09-30T17:55:32.000000+0530,HIGH_FEES,High Fees,0.604992151260376,new,"The review mentions delivery people not being assigned, which is not covered in the existing topics.",Delivery Assignment Issue
Mildly Positive Feedback,The review expresses a positive sentiment but indicates it is not fully satisfactory.,2025-09-28T07:32:20.000000+0530,POSITIVE_EXPERIENCE,Positive Experience,0.6047060489654541,merge,"Generic Appreciation is a subset of Positive Experience, as expressing gratitude can be part of a positive experience.",Positive Experience
Long delivery time,The review indicates a delay without specifying a related topic.,2025-10-11T04:14:26.000000+0530,FAST_DELIVERY,Fast Delivery,0.6043972969055176,merge,"Consolidating related topics regarding delivery location problems, including specific mentions of NYC delivery and general address finding issues.",Delivery Location Issues
Order Cancellation Issue,"The review indicates a cancellation without context, suggesting a potential issue with the cancellation process.",2025-09-30T08:38:05.000000+0530,NO_CANCEL_OPTION,No Cancel Option,0.6042255163192749,merge,"Both topics relate to feedback that does not specify issues or provide detailed insights, thus they can be consolidated under a broader category of generic feedback.",Generic Feedback
Frustration with app,The review expresses dissatisfaction with the app and suggests switching to a competitor.,2025-09-29T21:07:14.000000+0530,GREAT_APP,Great App,0.601900577545166,merge,Consolidating positive feedback on maintenance into the broader category of Positive Experience.,Positive Experience
Delivery person information issue,"The review mentions a lack of information about the delivery person, which is not covered in the existing topics.",2025-10-01T15:37:17.000000+0530,CANT_FIND_ADDRESS,Can't Find Address,0.6008012890815735,merge,"Both topics discuss aspects of the app's effectiveness, with Topic A focusing on marketing and customer benefits, while Topic B implies a positive evaluation of the app.",Marketing vs Customer Benefits
Delivery person unresponsive,"The review highlights an issue with the delivery person not answering calls, which is not covered in the existing topics.",2025-10-06T16:12:58.000000+0530,RUDE_DELIVERY_PERSON,Rude Delivery Person,0.6005797982215881,merge,Consolidating topics related to customer offers and positive experiences into a single topic for clarity and comprehensiveness.,Customer Feedback
Unclear feedback on app,"The review does not specify any particular issue or experience with the app, making it difficult to categorize.",2025-10-19T15:29:13.000000+0530,GREAT_APP,Great App,0.5973864793777466,merge,Both topics address concerns related to fees associated with delivery.,Delivery charge issue
Unclear Item Source,"The review mentions receiving an item from someone else, indicating a potential issue with item sourcing or delivery.",2025-10-18T17:44:31.000000+0530,WRONG_ITEM,Wrong Item,0.5971935391426086,merge,"Best service feedback expresses a positive sentiment about service quality, which aligns with Positive Experience.",Positive Experience
Generic negative feedback,The review is too vague to match any specific issue.,2025-10-09T11:35:44.000000+0530,NEGATIVE_GENERIC,Negative Generic,0.596732497215271,merge,Consolidated topics related to delivery speed concerns and fast delivery into a single topic.,Delivery Speed
Generic positive greeting,The review is a simple positive greeting without any specific feedback related to the service or food.,2025-10-03T21:50:59.000000+0530,POSITIVE_EXPERIENCE,Positive Experience,0.596476137638092,merge,Both topics express a positive sentiment towards a service experience.,Positive Feedback about Service
General complaint about service,The review expresses dissatisfaction without specifying a particular issue.,2025-10-02T14:33:03.000000+0530,POSITIVE_EXPERIENCE,Positive Experience,0.5959635972976685,merge,Both topics refer to the situation where a customer is waiting for an order that has not yet been delivered.,Order not received
Service complaint,The review expresses dissatisfaction with service quality without fitting existing categories.,2025-10-11T16:26:08.000000+0530,POSITIVE_EXPERIENCE,Positive Experience,0.5942577123641968,merge,"Topics A and B both relate to customer perceptions of value, with Topic A focusing on price and Topic B on quality.",Price and Quality Concerns
Expectation of better service,The review expresses hope for improved service quality.,2025-10-13T14:51:06.000000+0530,POSITIVE_EXPERIENCE,Positive Experience,0.5938947796821594,merge,"Topics A and B both express positive sentiments, making them redundant.",Positive Feedback
Positive feedback on product,The review expresses a positive sentiment about a product but does not fit existing categories.,2025-10-22T05:54:20.000000+0530,POSITIVE_EXPERIENCE,Positive Experience,0.592776894569397,merge,"Consolidated topics related to delivery speed, encompassing both slow and fast delivery experiences.",Delivery Speed
Negative app experience,The review expresses a negative sentiment towards the app without specifying a particular issue.,2025-10-16T03:57:24.000000+0530,GREAT_APP,Great App,0.5917140245437622,merge,"Both topics discuss general feedback about the app, with Topic B being a positive expression of the same sentiment.",App feedback
Negative App Experience,The review expresses a negative sentiment towards the app without specifying a particular issue.,2025-10-03T12:15:29.000000+0530,GREAT_APP,Great App,0.5917140245437622,merge,Consolidating 'Food quality issue' and 'Poor Quality' into a single topic for clarity and to avoid duplication.,Food Quality Issues
Location Delivery Issue,The app delivers to current location instead of specified address.,2025-10-16T15:09:12.000000+0530,CANT_FIND_ADDRESS,Can't Find Address,0.5916732549667358,merge,Consolidated topics related to delivery speed concerns and fast delivery into a single topic for clarity.,Delivery Speed
Menu variety suggestion,"The review suggests adding more food options, which is not covered in the existing topics.",2025-10-18T15:21:16.000000+0530,LIMITED_OPTIONS,Limited Options,0.5915346145629883,merge,Consolidated under a broader category as the first topic does not specify a clear issue.,Delivery Person Issue
Negative feedback on app,The review expresses a negative sentiment towards the app without specifying a particular issue.,2025-10-20T20:52:26.000000+0530,GREAT_APP,Great App,0.591460645198822,merge,"Consolidated topics related to service quality experiences, both positive and negative.",Service Quality Feedback
Delivery person communication issue,"The review mentions a lack of connection with the delivery person, which is not covered in the existing topics.",2025-10-05T14:45:31.000000+0530,RUDE_DELIVERY_PERSON,Rude Delivery Person,0.591458797454834,merge,Both topics address the issue of high fees affecting user experience.,High Fees
Positive feedback on dishes,The review expresses satisfaction with the food quality without specifying issues.,2025-10-06T19:35:53.000000+0530,GOOD_QUALITY_FOOD,Good Quality Food,0.590108335018158,merge,"Topics A and B both relate to positive sentiments, with Topic A being a subset of Topic B.",Positive Feedback
Delivery Management Issues,"The review mentions inefficient delivery management, which is not explicitly covered in the existing topics.",2025-10-14T13:31:48.000000+0530,FAST_DELIVERY,Fast Delivery,0.5862219333648682,merge,Consolidating topics related to delivery time into a single category.,Delivery Time
Positive Delivery Experience,The review expresses a positive sentiment about the delivery.,2025-10-09T17:46:06.000000+0530,POSITIVE_EXPERIENCE,Positive Experience,0.585612416267395,merge,"Both topics address problems related to order cancellation, including the lack of options and potential issues in the cancellation process.",Order Cancellation Issues
Poor service description,The review indicates dissatisfaction but lacks clarity on specific issues.,2025-10-16T20:49:33.000000+0530,POSITIVE_EXPERIENCE,Positive Experience,0.5855686664581299,merge,Consolidated reviews expressing both dissatisfaction and satisfaction with the app.,App Reviews
Delivery Status Inquiry,The review mentions 'After delivery' but does not specify any issues or feedback related to the delivery itself.,2025-10-01T13:32:25.000000+0530,NO_DELIVERY_YET,No Delivery Yet,0.5836387872695923,new,"The review mentions a lack of information about the delivery person, which is not covered in the existing topics.",Delivery person information issue
Positive Offers Feedback,"The review mentions 'amazing offers', indicating a positive sentiment towards promotions or discounts, which is not specifically covered in the catalog.",2025-10-07T15:37:43.000000+0530,POSITIVE_EXPERIENCE,Positive Experience,0.5836049318313599,new,"The review highlights an issue with the delivery person not answering calls, which is not covered in the existing topics.",Delivery person unresponsive
Positive feedback on experience,The review expresses enjoyment but does not fit existing categories.,2025-10-11T15:10:53.000000+0530,POSITIVE_EXPERIENCE,Positive Experience,0.5815291404724121,merge,"Both topics relate to user feedback on the app, but one is positive while the other is vague.",Unclear feedback on app
Request for Timely Delivery,"The review expresses a desire for on-time delivery, which is not explicitly covered in the catalog.",2025-10-04T17:52:31.000000+0530,FAST_DELIVERY,Fast Delivery,0.5801203846931458,merge,"Consolidated topics related to customer experiences, both positive and negative.",Customer Feedback
Incomplete food experience,"The review indicates a need for a complete food experience, suggesting dissatisfaction with the overall food quality or quantity, which is not explicitly covered in the catalog.",2025-10-25T18:17:25.000000+0530,GOOD_QUALITY_FOOD,Good Quality Food,0.5793222188949585,merge,Consolidated feedback expressing both frustration and praise for the app.,App Feedback
Positive sentiment without specifics,The review expresses a positive sentiment ('Good maa') but does not specify any particular aspect of the service or food.,2025-10-05T14:05:57.000000+0530,POSITIVE_EXPERIENCE,Positive Experience,0.5789877772331238,merge,Topics A and B both express a positive sentiment regarding user experiences and preferences.,Positive Sentiment Towards Choice
Low Service Quality,"The review indicates a general dissatisfaction with service quality, which is not explicitly covered in the catalog.",2025-10-24T20:41:16.000000+0530,POSITIVE_EXPERIENCE,Positive Experience,0.5786091685295105,new,"This topic introduces a unique aspect of comparing better offers than other apps, which is not covered in existing topics.",Better Offers Comparison
Positive sentiment about food,The review expresses a positive sentiment but does not specify any issues related to the service.,2025-10-01T14:41:14.000000+0530,GOOD_QUALITY_FOOD,Good Quality Food,0.5784333944320679,merge,Consolidating topics related to app usability issues and general app satisfaction into a single topic for clarity.,App Usability and Satisfaction
General Satisfaction,The review mentions satisfaction but does not specify any issues or experiences related to the service.,2025-10-05T06:41:50.000000+0530,POSITIVE_EXPERIENCE,Positive Experience,0.5761748552322388,merge,"Topic A highlights significant app performance problems, which can be considered a subset of the overall app quality discussed in Topic B.",App Performance Issues
Delivery Time Concern,"The review mentions 'taking time', indicating a concern about delivery time, which is not explicitly covered in the catalog.",2025-10-03T01:02:39.000000+0530,LATE_DELIVERY,Late Delivery,0.5755566954612732,merge,"Both topics relate to the enjoyment and quality of food, making them duplicates.",Positive Food Experience
Super Apps Concept,"The review mentions 'super apps' in relation to Swiggy, which is not covered in the existing topics.",2025-10-01T15:26:02.000000+0530,GREAT_APP,Great App,0.5752640962600708,merge,"Both topics relate to the enjoyment and quality of food, making them duplicates.",Positive Food Experience
App Scam Allegation,"The review claims the app is a scam, which is not covered in the existing topics.",2025-09-28T09:05:20.000000+0530,GREAT_APP,Great App,0.5748990774154663,merge,Both topics relate to difficulties in locating delivery personnel or addresses.,Tracking Issues
Fake Timing Issue,"The review mentions 'fake timing,' indicating a potential issue with delivery timing that is not explicitly covered in the existing topics.",2025-10-25T08:20:15.000000+0530,LATE_DELIVERY,Late Delivery,0.5733479261398315,merge,"Both topics relate to customer feedback on service quality, with Topic B representing a positive aspect of the inquiry in Topic A.",Service Quality Inquiry
Delivery Communication Issue,The review suggests a need for better communication regarding delivery status.,2025-09-30T01:38:16.000000+0530,NO_DELIVERY_YET,No Delivery Yet,0.5728573799133301,new,"This topic introduces a new process for providing feedback after using the service, which is not covered in existing topics.",Feedback request process
Delivery without packing,"The review suggests delivering items without packing, which is not addressed in the catalog.",2025-10-24T14:42:28.000000+0530,NO_DELIVERY_YET,No Delivery Yet,0.572279691696167,merge,"Both topics relate to the delivery of parcels, with Topic A focusing on feedback after receipt and Topic B indicating a lack of delivery.",Parcel Feedback
Poor Service Experience,The review indicates dissatisfaction with the app and service without matching existing topics.,2025-09-28T09:03:13.000000+0530,POSITIVE_EXPERIENCE,Positive Experience,0.5713925361633301,new,"The review mentions a delivery partner not receiving a phone, which is not covered in the existing topics.",Delivery partner communication issue
Positive feedback on offers,"The review expresses a positive sentiment about offers, which is not covered in the existing topics.",2025-10-07T09:30:46.000000+0530,POSITIVE_EXPERIENCE,Positive Experience,0.570648193359375,merge,"Both topics address problems related to delivery, with Topic B being a specific instance of Topic A.",Delivery Issue
Positive food recommendation,"The review expresses a positive sentiment about a specific food item, which is not covered in the existing topics.",2025-10-09T07:13:03.000000+0530,GOOD_QUALITY_FOOD,Good Quality Food,0.5696010589599609,merge,"Both topics discuss app quality, but Topic A is neutral while Topic B is positive.",Mediocre Food App
Delivery Method Concern,"The review mentions 'not speed post', indicating a concern about the delivery method or speed, which is not explicitly covered in the catalog.",2025-10-14T17:08:13.000000+0530,FAST_DELIVERY,Fast Delivery,0.5693224668502808,merge,Vague Positive Feedback and Positive Experience both relate to general positive sentiments without specific details.,Positive Feedback
General Feedback,The review expresses a general sentiment about improvement without specific issues.,2025-10-16T16:47:39.000000+0530,POSITIVE_EXPERIENCE,Positive Experience,0.5689031481742859,merge,"Consolidating topics related to order cancellation, including automatic cancellations and lack of cancellation options.",Order Cancellation Issues
